"Global X U.S. Preferred ETF",,,,,,
"Fund Holdings Data as of 03/30/2023",,,,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.94,WFC,"WFC 7 1/2 PERP",B3KRSW9,"1,157.50","76,188.00","88,187,610.00"
2.86,BAC,"BAC 7 1/4 PERP",B2PB3Z7,"1,152.17","55,544.00","63,996,130.48"
2.21,C,"C 11.1724 10/30/40",B3Z1BZ0,28.65,"1,725,607.00","49,438,640.55"
1.60,JPM,"JPM 6 PERP",BJ2KBT6,25.33,"1,414,827.00","35,837,567.91"
1.57,NEE,"NEE 6.926 09/01/25",BQV3827,45.94,"764,700.00","35,130,318.00"
1.44,JPM,"JPM 5 3/4 PERP",BFY34D0,24.82,"1,297,870.00","32,213,133.40"
1.34,JPM,"JPM 4.2 PERP",BN75VC7,19.54,"1,530,681.00","29,909,506.74"
1.32,JPM,"JPM 4 5/8 PERP",BND7XB0,20.91,"1,415,858.00","29,605,590.78"
1.32,WFC,"WFC 4 3/4 PERP",BJVB6B7,19.22,"1,539,729.00","29,593,591.38"
1.24,T,"T 4 3/4 PERP",BLL1ZY7,20.67,"1,339,880.00","27,695,319.60"
1.08,BAC,"BAC 6 PERP",BFZNM46,24.90,"970,150.00","24,156,735.00"
1.06,T,"T 5.35 11/01/66",BF545Q2,23.38,"1,013,421.00","23,693,782.98"
1.06,JPM,"JPM 4.55 PERP",BM8TGF9,20.60,"1,149,429.00","23,678,237.40"
1.02,BAC,"BAC 5 3/8 PERP",BJN6RX9,22.86,"1,001,528.00","22,894,930.08"
1.01,COF,"COF 5 PERP",BGMJPW3,19.74,"1,149,248.00","22,686,155.52"
0.94,GS,"GS 5.52929 PERP",B15CKS5,20.32,"1,035,458.00","21,040,506.56"
0.91,T,"T 5 PERP",BKPK060,22.12,"920,610.00","20,363,893.20"
0.90,BAC,"BAC 5 PERP",BKVJXF1,21.41,"938,586.00","20,095,126.26"
0.88,DUK,"DUK 5 3/4 PERP",BJXH6L3,25.61,"767,402.00","19,653,165.22"
0.88,ALL,"ALL 5.1 PERP",BKDKS91,22.25,"881,901.00","19,622,297.25"
0.87,MS,"MS 6 1/2 PERP",BQH5ZL5,25.24,"767,292.00","19,366,450.08"
0.85,BAC,"BAC 6.45 12/15/66",BF2PL60,25.09,"755,780.00","18,962,520.20"
0.85,MS,"MS 6 3/8 PERP",BQT2G00,24.70,"767,414.00","18,955,125.80"
0.84,MS,"MS 5.85 PERP",BYYYY81,24.50,"767,529.00","18,804,460.50"
0.84,MS,"MS 4 1/4 PERP",BMF4W82,18.85,"997,526.00","18,803,365.10"
0.81,USB,"USB 5.84971 PERP",B617Z40,757.55,"23,990.00","18,173,624.50"
