Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
PGF,JPM C,48128B648,JPMorgan Chase & Co,6.00,12/31/2079,01/24/2019,03/01/2024,BBB-/Baa2,"1,224,109",3.093323443E7,2.89,03/29/2023
PGF,JPM D,48128B655,JPMorgan Chase & Co,5.75,12/31/2079,09/21/2018,12/01/2023,BBB-/Baa2,"1,125,581",2.774557165E7,2.59,03/29/2023
PGF,WFC Q,949746556,Wells Fargo & Co,5.85,12/31/2079,07/22/2013,09/15/2023,BB+/Baa2,"1,143,235",2.690031955E7,2.51,03/29/2023
PGF,WFC Z,94988U151,Wells Fargo & Co,4.75,12/31/2079,01/27/2020,03/15/2025,BB+/Baa2,"1,345,346",2.572301552E7,2.40,03/29/2023
PGF,JPM M,48128B523,JPMorgan Chase & Co,4.20,12/31/2079,07/29/2021,09/01/2026,BBB-/Baa2,"1,325,123",2.549536652E7,2.38,03/29/2023
PGF,C K,172967341,Citigroup Inc,6.88,12/31/2079,10/31/2013,11/15/2023,BB+/Ba1,"1,013,322",2.52823839E7,2.36,03/29/2023
PGF,JPM L,48128B549,JPMorgan Chase & Co,4.62,12/31/2079,05/20/2021,06/01/2026,BBB-/Baa2,"1,223,232",2.527197312E7,2.36,03/29/2023
PGF,BAC B,060505229,Bank of America Corp,6.00,12/31/2079,05/16/2018,05/16/2023,BBB-/Baa3,"885,403",2.184289201E7,2.04,03/29/2023
PGF,BAC M,06053U601,Bank of America Corp,5.38,12/30/2049,06/25/2019,06/25/2024,BBB-/Baa3,"917,255",2.08583787E7,1.95,03/29/2023
PGF,JPM K,48128B580,JPMorgan Chase & Co,4.55,12/31/2079,03/17/2021,06/01/2026,BBB-/Baa2,"1,001,600",2.0292416E7,1.90,03/29/2023
PGF,COF I,14040H824,Capital One Financial Corp,5.00,12/31/2079,09/11/2019,12/01/2024,BB/Baa3,"982,997",1.919793141E7,1.79,03/29/2023
PGF,BAC N,06055H202,Bank of America Corp,5.00,12/31/2079,09/17/2019,09/17/2024,BBB-/Baa3,"877,092",1.88136234E7,1.76,03/29/2023
PGF,ALL H,020002838,Allstate Corp/The,5.10,12/31/2079,08/08/2019,10/15/2024,BBB/Baa2,"780,288",1.727655168E7,1.61,03/29/2023
PGF,MS P,61762V853,Morgan Stanley,6.50,12/31/2079,08/02/2022,10/15/2027,BBB-/Baa3,"666,387",1.670882104125E7,1.56,03/29/2023
PGF,GS J,38145G308,Goldman Sachs Group Inc/The,5.50,12/31/2079,04/25/2013,05/10/2023,BB+/Ba1,"674,130",1.66375284E7,1.55,03/29/2023
PGF,MS I,61761J406,Morgan Stanley,6.38,12/31/2079,09/18/2014,10/15/2024,BBB-/Baa3,"662,551",1.6246785424662E7,1.52,03/29/2023
PGF,MS O,61762V861,Morgan Stanley,4.25,12/31/2079,10/25/2021,01/15/2027,BBB-/Baa3,"861,336",1.6136591625E7,1.51,03/29/2023
PGF,MS K,61762V606,Morgan Stanley,5.85,12/31/2079,01/31/2017,04/15/2027,BBB-/Baa3,"662,557",1.6069905936875E7,1.50,03/29/2023
PGF,C J,172967358,Citigroup Inc,7.12,12/31/2079,09/19/2013,09/30/2023,BB+/Ba1,"637,881",1.604270715E7,1.50,03/29/2023
PGF,BAC Q,06055H806,Bank of America Corp,4.25,12/31/2079,10/26/2021,11/17/2026,BBB-/Baa3,"854,159",1.550298585E7,1.45,03/29/2023
PGF,COF J,14040H782,Capital One Financial Corp,4.80,12/31/2079,01/31/2020,06/01/2025,BB/Baa3,"815,910",1.52330397E7,1.42,03/29/2023
PGF,WFC A,94988U128,Wells Fargo & Co,4.70,12/31/2079,10/28/2020,12/15/2025,BB+/Baa2,"772,167",1.464028632E7,1.37,03/29/2023
PGF,MET F,59156R850,MetLife Inc,4.75,12/31/2079,01/15/2020,03/15/2025,BBB/Baa2,"672,517",1.453981754E7,1.36,03/29/2023
PGF,MS E,61762V200,Morgan Stanley,7.12,12/31/2079,09/30/2013,10/15/2023,BBB-/Baa3,"571,470",1.427799907989E7,1.33,03/29/2023
PGF,WFC D,95002Y400,Wells Fargo & Co,4.25,12/31/2079,07/27/2021,09/15/2026,BB+/Baa2,"825,229",1.41939388E7,1.33,03/29/2023
PGF,MS F,61763E207,Morgan Stanley,6.88,12/31/2079,12/10/2013,01/15/2024,BBB-/Baa3,"563,164",1.3865273387168E7,1.30,03/29/2023
PGF,BAC O,06055H400,Bank of America Corp,4.38,12/31/2079,10/29/2020,11/03/2025,BBB-/Baa3,"740,800",1.3823328E7,1.29,03/29/2023
PGF,WFC R,949746465,Wells Fargo & Co,6.62,12/31/2079,12/18/2013,03/15/2024,BB+/Baa2,"557,882",1.350632322E7,1.26,03/29/2023
PGF,MET E,59156R876,MetLife Inc,5.62,12/31/2079,06/04/2018,06/15/2023,NA/Baa2,"546,421",1.345288502E7,1.26,03/29/2023
PGF,BAC K,060505195,Bank of America Corp,5.88,12/31/2079,07/24/2018,07/24/2023,BBB-/Baa3,"557,465",1.340274745908E7,1.25,03/29/2023
PGF,TFC R,89832Q695,Truist Financial Corp,4.75,12/31/2079,08/03/2020,09/01/2025,BBB-/Baa2,"626,992",1.280944656E7,1.20,03/29/2023
PGF,JPM J,48128B622,JPMorgan Chase & Co,4.75,12/31/2079,11/07/2019,12/01/2024,BBB-/Baa2,"597,575",1.272237175E7,1.19,03/29/2023
