Fund Ticker, Holding Ticker,Security Identifier, Name, CouponRate, MaturityDate, Effective Date, Next_Call_Date, rating, Shares/Par Value, MarketValue, PercentageOfFund, PositionDate 
PGX,JPM C,48128B648,JPMorgan Chase & Co,6.00,12/31/2079,01/24/2019,03/01/2024,BBB-/Baa2,"3,173,302",8.018934154E7,1.73,03/29/2023
PGX,JPM D,48128B655,JPMorgan Chase & Co,5.75,12/31/2079,09/21/2018,12/01/2023,BBB-/Baa2,"2,951,149",7.274582285E7,1.57,03/29/2023
PGX,JPM L,48128B549,JPMorgan Chase & Co,4.62,12/31/2079,05/20/2021,06/01/2026,BBB-/Baa2,"3,393,424",7.010813984E7,1.51,03/29/2023
PGX,WFC Z,94988U151,Wells Fargo & Co,4.75,12/31/2079,01/27/2020,03/15/2025,BB+/Baa2,"3,624,369",6.929793528E7,1.49,03/29/2023
PGX,JPM M,48128B523,JPMorgan Chase & Co,4.20,12/31/2079,07/29/2021,09/01/2026,BBB-/Baa2,"3,594,213",6.915265812E7,1.49,03/29/2023
PGX,T C,00206R706,AT&T Inc,4.75,12/31/2079,02/18/2020,02/18/2025,BB+/Ba1,"3,130,337",6.457885231E7,1.39,03/29/2023
PGX,BAC M,06053U601,Bank of America Corp,5.38,12/30/2049,06/25/2019,06/25/2024,BBB-/Baa3,"2,783,891",6.330568134E7,1.36,03/29/2023
PGX,BAC B,060505229,Bank of America Corp,6.00,12/31/2079,05/16/2018,05/16/2023,BBB-/Baa3,"2,476,632",6.109851144E7,1.32,03/29/2023
PGX,JPM K,48128B580,JPMorgan Chase & Co,4.55,12/31/2079,03/17/2021,06/01/2026,BBB-/Baa2,"2,813,654",5.700463004E7,1.23,03/29/2023
PGX,TBB,00206R300,AT&T Inc,5.35,11/01/2066,10/27/2017,04/28/2023,BBB/Baa2,"2,434,476",5.6216919792E7,1.21,03/29/2023
PGX,BAC N,06055H202,Bank of America Corp,5.00,12/31/2079,09/17/2019,09/17/2024,BBB-/Baa3,"2,468,638",5.29522851E7,1.14,03/29/2023
PGX,COF I,14040H824,Capital One Financial Corp,5.00,12/31/2079,09/11/2019,12/01/2024,BB/Baa3,"2,669,447",5.213429991E7,1.12,03/29/2023
PGX,T A,00206R508,AT&T Inc,5.00,12/31/2079,12/12/2019,12/12/2024,BB+/Ba1,"2,146,589",4.703176499E7,1.01,03/29/2023
