,ISIN number,Bloomberg Ticker,Activ Ticker,Last Price,Current % Mkt Cap,Projected % Mkt Cap,Current PFF Shares,Projected PFF Shares,Difference
0,US0389238504,ABR F Pfd,ABRpF,20.96,0.12766,0.13016,851263.0,867933.0,16670.0
1,US0389238686,ABR E Pfd,ABRpE,20.36,0.06287,0.0641,431584.0,440028.0,8444.0
2,US0389238769,ABR D Pfd,ABRpD,20.3656,0.10062,0.10258,690537.0,703989.0,13452.0
3,US03939A4040,ACGLN Pfd,ACGLN,19.79,0.21255,0.2167,1501120.0,1530429.0,29309.0
4,US03939A1079,ACGLO Pfd,ACGLO,23.67,0.16778,0.17106,990700.0,1010067.0,19367.0
5,US00489Q3002,ACR D Pfd,ACRpD,20.201,0.04999,0.05096,345868.0,352579.0,6711.0
6,US00489Q2012,ACR C Pfd,ACRpC,22.71,0.05854,0.05968,360276.0,367292.0,7016.0
7,US0084922097,ADC A Pfd,ADCpA,18.5,0.06954,0.0709,525367.0,535642.0,10275.0
8,US00775V1044,AEFC Pfd,AEFC,21.92,0.43553,0.44405,2777011.0,2831336.0,54325.0
9,US0256765035,AEL A Pfd,AELpA,22.71,0.19513,0.19894,1200901.0,1224349.0,23448.0
10,US0256766025,AEL B Pfd,AELpB,24.92,0.16059,0.16373,900680.0,918291.0,17611.0
11,US02557T3077,AEPPZ Pfd,AEPPZ,50.24,0.45782,0.46677,1273636.0,1298534.0,24898.0
12,US00130H2040,AESC Pfd,AESC,96.395,0.54069,0.55126,783960.0,799286.0,15326.0
13,US0259328641,AFGE Pfd,AFGE,19.879,0.0854,0.08707,600431.0,612173.0,11742.0
14,US0259328807,AFGC Pfd,AFGC,22.54,0.09683,0.09873,600421.0,612203.0,11782.0
15,US0259328724,AFGD Pfd,AFGD,23.95,0.07717,0.07868,450343.0,459155.0,8812.0
16,US0259328070,AFGB Pfd,AFGB,25.04,0.06723,0.06855,375257.0,382625.0,7368.0
17,US00123Q8722,AGNCP Pfd,AGNCP,21.31,0.26407,0.26923,1731952.0,1765794.0,33842.0
18,US00123Q8078,AGNCO Pfd,AGNCO,22.32,0.19289,0.19666,1207857.0,1231465.0,23608.0
19,US00123Q6098,AGNCM Pfd,AGNCM,22.5,0.11388,0.11611,707400.0,721252.0,13852.0
20,US00123Q5009,AGNCN Pfd,AGNCN,25.35,0.17676,0.18022,974555.0,993631.0,19076.0
21,US00123Q8565,AGNCL Pfd,AGNCL,,0.07578,0.07726,,,
22,US04208T2078,AHH A Pfd,AHHpA,22.98,0.08445,0.0861,513629.0,523665.0,10036.0
23,BMG053842040,AHL E Pfd,AHLpE,21.91,0.11766,0.11996,750562.0,765234.0,14672.0
24,BMG053841620,AHL D Pfd,AHLpD,21.86,0.11739,0.11968,750552.0,765194.0,14642.0
25,BMG053841547,AHL C Pfd,AHLpC,24.94,0.14732,0.1502,825592.0,841732.0,16140.0
26,US0268747682,AIG A Pfd,AIGpA,24,0.25776,0.2628,1501082.0,1530433.0,29351.0
27,US04621X3061,AIZN Pfd,AIZN,22.53,0.12099,0.12335,750565.0,765206.0,14641.0
28,US38983D4097,AJXA Pfd,AJXA,24.55,0.06142,0.06262,349670.0,356502.0,6832.0
29,US00912X5005,AL A Pfd,ALpA,24.81,0.13323,0.13584,750543.0,765246.0,14703.0
30,US0200028126,ALL I Pfd,ALLpI,22.45,0.14467,0.1475,900663.0,918281.0,17618.0
31,US0200023093,ALL B Pfd,ALLpB,25.28,0.27151,0.27682,1501097.0,1530455.0,29358.0
32,US0200028381,ALL H Pfd,ALLpH,23.57,0.58223,0.59361,3452511.0,3519993.0,67482.0
33,US0200021279,ALL G Pfd,ALLpG,24.62,0.30409,0.31003,1726292.0,1760013.0,33721.0
34,US0082528359,MGRD Pfd,MGRD,17.56,0.07544,0.07691,600451.0,612151.0,11700.0
35,US0082528433,MGRB Pfd,MGRB,20,0.11814,0.12045,825595.0,841738.0,16143.0
36,US0082528508,MGR Pfd,MGR,24.5,0.15788,0.16097,900661.0,918288.0,17627.0
37,US02665T8760,AMH G Pfd,AMHpG,23.554,0.05818,0.05932,345231.0,351995.0,6764.0
38,US02665T8687,AMH H Pfd,AMHpH,24.7,0.06101,0.06221,345227.0,352017.0,6790.0
39,US03769W3025,AAM B Pfd,AAMpB,24.77,0.15962,0.16274,900661.0,918266.0,17605.0
40,US03769W2035,AAM A Pfd,AAMpA,24.565,0.14511,0.14794,825621.0,841723.0,16102.0
41,JE00BMHMX696,APTV A Pfd,APTVpA,135.34,0.8372,0.85356,864576.0,881471.0,16895.0
42,US0158578080,AQNB Pfd,AQNB,23.29,0.1751,0.17852,1050792.0,1071316.0,20524.0
43,US0158577090,AQNA Pfd,AQNA,24.57,0.15173,0.1547,863111.0,880005.0,16894.0
44,US0158578734,AQNU Pfd,AQNU,28,0.33879,0.34541,1691113.0,1724158.0,33045.0
45,US0401302056,ARGD Pfd,ARGD,22.58,0.06972,0.07109,431552.0,440032.0,8480.0
46,US0401282092,ARGO A Pfd,ARGOpA,24.39,0.07859,0.08012,450356.0,459123.0,8767.0
47,US0423156068,ARR C Pfd,ARRpC,21.28,0.07824,0.07977,513875.0,523924.0,10049.0
48,US0454874027,ASB F Pfd,ASBpF,24.05,0.05166,0.05267,300220.0,306089.0,5869.0
49,US0454872047,ASB E Pfd,ASBpE,24.95,0.05359,0.05464,300202.0,306084.0,5882.0
50,MHY0436Q1411,ATCO H Pfd,ATCOpH,21.71,0.10522,0.10728,677390.0,690652.0,13262.0
51,MHY0436Q1171,ATCO D Pfd,ATCOpD,22.6801,0.06204,0.06325,382320.0,389777.0,7457.0
52,MHY0436Q1585,ATCO I Pfd,ATCOpI,23.3,0.07507,0.07654,450309.0,459127.0,8818.0
53,US04686J4085,ATH D Pfd,ATHpD,19.32,0.23862,0.24329,1726235.0,1760019.0,33784.0
54,US04686J2006,ATH B Pfd,ATHpB,22.34,0.16555,0.16879,1035729.0,1055999.0,20270.0
55,BMG0684D3054,ATH A Pfd,ATHpA,25.1,0.46502,0.47411,2589393.0,2640010.0,50617.0
56,US04686J3095,ATH C Pfd,ATHpC,25.23,0.32517,0.33152,1801330.0,1836507.0,35177.0
57,US04686J5074,,,,0.28472,0.29029,,,
58,US04914Y3009,ATLCL Pfd,ATLCL,22.82,0.07385,0.07529,452309.0,461128.0,8819.0
59,US04911A2069,AUBAP Pfd,AUBAP,source not found,0.09386,0.09569,,,
60,US05461T3059,AXS E Pfd,AXSpE,23.28,0.27503,0.28041,1651191.0,1683490.0,32299.0
61,US0605055914,BML J Pfd,BMLpJ,21.4675,0.06228,0.0626,405478.0,407561.0,2083.0
